beneficiary_id,customer_id,beneficiary_name,relationship,bank_name,account_number,routing_number,email,phone,is_active,added_date
1,282,Justin Wilson,Child,Citibank,24147056,108376917,justin.wilson@email.com,(265) 686-2404,1,2022-10-01
2,309,Zachary Walker,Other,US Bank,52471285,599408595,zachary.walker@email.com,(956) 456-1756,1,2018-10-01
3,327,Mark Osei,Friend,PNC Bank,13871020,694938470,mark.osei@email.com,(275) 812-1190,1,2015-01-24
4,226,Christine Reynolds,Other,Citibank,95588990,484518762,christine.reynolds@email.com,(361) 627-4700,1,2019-02-03
5,45,Janice Jenkins,Sibling,Capital One,42028534,488169649,janice.jenkins@email.com,(386) 470-2792,1,2017-09-09
6,77,Logan Davis,Business Partner,Wells Fargo,80767121,941150971,logan.davis@email.com,(975) 585-8846,1,2016-02-05
7,213,Susan Coleman,Parent,Capital One,12912807,280959360,susan.coleman@email.com,(501) 795-3746,1,2017-03-02
8,226,Janet West,Sibling,US Bank,20892215,813278762,janet.west@email.com,(508) 793-1718,1,2019-02-13
9,256,Ethan Perez,Parent,Citibank,30288193,237981293,ethan.perez@email.com,(930) 707-9080,1,2022-10-14
10,84,Zawadi Morales,Sibling,Bank of America,52400515,665779726,zawadi.morales@email.com,(675) 735-9586,1,2021-09-02
11,284,Sandra Simmons,Other,Citibank,23238397,612551589,sandra.simmons@email.com,(308) 524-2856,1,2016-01-19
12,84,Sarah Bell,Business Partner,US Bank,25570537,268807277,sarah.bell@email.com,(499) 918-9204,1,2018-06-30
13,214,Janet Gray,Sibling,Citibank,19980836,822408035,janet.gray@email.com,(408) 654-2218,1,2023-04-24
14,48,Ethan Gomez,Friend,Chase,65011424,531952678,ethan.gomez@email.com,(811) 528-6083,1,2018-07-24
15,278,Marie Wilson,Parent,TD Bank,10659606,306218786,marie.wilson@email.com,(460) 207-3002,1,2022-04-14
16,207,Nancy Mcdonald,Spouse,TD Bank,13882533,515487092,nancy.mcdonald@email.com,(306) 411-1602,1,2016-04-09
17,232,Anthony Allen,Child,Citibank,22143251,813680265,anthony.allen@email.com,(734) 846-2439,1,2020-02-07
18,126,Michelle Davis,Parent,TD Bank,88803431,508752731,michelle.davis@email.com,(566) 632-5252,1,2015-02-20
19,292,Linda Taylor,Spouse,PNC Bank,49026419,239457817,linda.taylor@email.com,(999) 608-1937,1,2022-12-16
20,77,Douglas Henry,Other,US Bank,20082527,232040406,douglas.henry@email.com,(631) 486-4371,1,2018-01-15
21,156,Hassan Hall,Business Partner,Bank of America,26388607,372170889,hassan.hall@email.com,(684) 524-5778,1,2022-05-22
22,74,Diane Ramos,Parent,Wells Fargo,27036190,345698449,diane.ramos@email.com,(263) 859-7970,1,2018-04-18
23,41,Steven Jackson,Sibling,US Bank,63731567,158856249,steven.jackson@email.com,(429) 730-6696,1,2016-02-05
24,315,Joe Foster,Child,Citibank,47457170,840285525,joe.foster@email.com,(632) 600-6219,1,2016-08-24
25,147,Thomas Mcdonald,Sibling,US Bank,53587444,302212308,thomas.mcdonald@email.com,(979) 439-2614,1,2019-11-10
26,162,Anna Omondi,Spouse,Capital One,14527529,936582473,anna.omondi@email.com,(531) 861-5718,1,2016-02-28
27,244,Matthew Collins,Business Partner,Bank of America,40033301,789192682,matthew.collins@email.com,(890) 497-7967,1,2023-05-01
28,7,Kathleen Clark,Sibling,Chase,95761697,619187017,kathleen.clark@email.com,(748) 638-6263,1,2020-01-29
29,58,Dennis Wilson,Friend,Citibank,11837545,394516095,dennis.wilson@email.com,(309) 912-6287,1,2022-02-09
30,251,Brenda Diaz,Parent,TD Bank,42271973,355677171,brenda.diaz@email.com,(473) 918-4651,1,2019-03-01
31,241,Marie Diallo,Child,Capital One,90930823,613050517,marie.diallo@email.com,(235) 296-7988,1,2020-08-18
32,186,Patrick Flores,Other,Citibank,20268083,814855410,patrick.flores@email.com,(919) 695-6239,1,2015-07-19
33,289,Angela Johnson,Child,TD Bank,12488563,188697931,angela.johnson@email.com,(965) 318-9492,1,2018-09-03
34,286,Julia Coleman,Friend,TD Bank,46059690,791772870,julia.coleman@email.com,(218) 955-6873,1,2016-11-23
35,168,Harold Garcia,Business Partner,PNC Bank,14363324,743131640,harold.garcia@email.com,(558) 694-3509,1,2020-08-18
36,137,Sarah Olson,Sibling,Wells Fargo,62421588,527585944,sarah.olson@email.com,(717) 250-7499,1,2017-04-21
37,326,Doris Diallo,Child,US Bank,20330034,557436313,doris.diallo@email.com,(850) 297-2480,1,2021-09-10
38,19,Frank Kelly,Other,Capital One,33823887,894218406,frank.kelly@email.com,(699) 725-1424,1,2020-09-22
39,202,Austin Wilson,Friend,Citibank,21949392,918339776,austin.wilson@email.com,(325) 353-2929,1,2020-02-29
40,309,Teresa Long,Child,Wells Fargo,31500409,325128531,teresa.long@email.com,(447) 283-4037,1,2018-09-10
41,256,Heather Marshall,Child,PNC Bank,10309930,985368863,heather.marshall@email.com,(906) 925-4509,1,2020-10-27
